symptoms,goviral,fluwatch,hongkong,hutterite,loeb,male,female,population
intercept,-0.3443126351242901,-0.32481762777001677,0.15027285792672584,-0.3671367214382014,-0.3457203116935108,-0.34282045409292716,-0.3428632133686336,-0.3428862830731192
fever,0.5712934260534294,0.5656704181382997,0.6798950358964954,0.5736937940124942,0.5698156377112437,0.5720333909229947,0.5720234680894768,0.5720293671546678
sorethroat,0.5627013621823684,0.5590977802874878,0.6245021954155816,0.5646727807733407,0.5623342455805326,0.5633681358437149,0.563360956693717,0.563364461007496
cough,0.900059897274408,0.8932065550559302,0.8137329472181605,0.9126842839706992,0.9024120665182935,0.9012717519066263,0.9012891343113582,0.901282804286346
muscle,0.3877683259416397,0.3893191241711835,0.4403106274049772,0.38572114994966145,0.3876368109002734,0.3878253009904534,0.3878214674951367,0.3878413201807717
