symptoms,goviral,fluwatch,hongkong,hutterite,loeb,male,female,population
intercept,-0.34431263512436305,-0.3248176277697945,0.15027285792669653,-0.3671367214403685,-0.3457203116934918,-0.3428204540933623,-0.3428632133690608,-0.34288628307358093
fever,0.5712934260534277,0.5656704181381021,0.6798950358964043,0.5736937940125352,0.569815637711165,0.5720333909229144,0.5720234680893773,0.5720293671545986
sorethroat,0.5627013621820257,0.5590977802875872,0.6245021954155422,0.5646727807740269,0.5623342455805237,0.563368135843809,0.5633609566938155,0.5633644610075909
cough,0.9000598972743361,0.8932065550558479,0.8137329472182675,0.9126842839716542,0.9024120665182942,0.9012717519065405,0.9012891343112804,0.9012828042863502
muscle,0.387768325941614,0.38931912417110226,0.4403106274049448,0.38572114994931717,0.38763681090023067,0.3878253009903843,0.3878214674950681,0.3878413201806841
