symptoms,goviral,fluwatch,hongkong,hutterite,loeb,male,female,population
intercept,-0.344312635124418,-0.3248176277697497,0.1502728579267445,-0.3671367214400497,-0.3457203116933452,-0.3428204540932856,-0.3428632133689877,-0.3428862830734968
fever,0.5712934260533824,0.5656704181380755,0.6798950358964351,0.5736937940125953,0.5698156377111532,0.5720333909229054,0.5720234680894077,0.5720293671546929
sorethroat,0.5627013621827371,0.5590977802874642,0.624502195415556,0.5646727807737804,0.5623342455805261,0.5633681358439369,0.5633609566939559,0.5633644610077388
cough,0.9000598972745677,0.8932065550556085,0.813732947218258,0.9126842839715436,0.9024120665184359,0.9012717519067551,0.9012891343114873,0.9012828042865269
muscle,0.38776832594155203,0.3893191241711442,0.44031062740493865,0.38572114994952944,0.38763681090023294,0.387825300990378,0.38782146749506285,0.38784132018067724
