symptoms,goviral,fluwatch,hongkong,hutterite,loeb,male,female,population
intercept,-0.3443126351242053,-0.32481762776995404,0.15027285792671163,-0.36713672143808634,-0.3457203116934305,-0.3428204540928416,-0.3428632133685495,-0.34288628307306546
fever,0.571293426053553,0.5656704181384881,0.6798950358965581,0.5736937940126188,0.5698156377113827,0.5720333909231101,0.5720234680895822,0.5720293671548282
sorethroat,0.5627013621819493,0.5590977802875565,0.6245021954155103,0.5646727807737869,0.5623342455804454,0.5633681358436993,0.5633609566936932,0.5633644610075198
cough,0.9000598972746593,0.8932065550560533,0.813732947218089,0.912684283970745,0.9024120665183692,0.9012717519068233,0.9012891343115449,0.9012828042865557
muscle,0.38776832594166377,0.38931912417111714,0.44031062740497107,0.38572114994971674,0.38763681090028873,0.3878253009904679,0.38782146749515073,0.3878413201807604
