symptoms,goviral,fluwatch,hongkong,hutterite,loeb,male,female,population
intercept,-0.34431263512419835,-0.32481762776994194,0.15027285792669554,-0.3671367214376162,-0.3457203116933886,-0.3428204540927605,-0.3428632133684697,-0.34288628307297053
fever,0.5712934260532435,0.5656704181380293,0.6798950358963165,0.5736937940123078,0.569815637710966,0.5720333909227653,0.5720234680892192,0.5720293671544949
sorethroat,0.5627013621816972,0.5590977802876472,0.6245021954155431,0.564672780773628,0.562334245580508,0.5633681358436721,0.5633609566936754,0.5633644610074394
cough,0.9000598972745115,0.893206555055613,0.8137329472181565,0.9126842839704559,0.9024120665184312,0.9012717519067772,0.9012891343115164,0.9012828042864997
muscle,0.38776832594169114,0.3893191241712372,0.4403106274050153,0.3857211499497912,0.38763681090037627,0.3878253009905331,0.38782146749521795,0.38784132018082457
